,WMO,Prof,Date,Lat,Lon,O2Inv,O2EqInv
38,4901782.0,38.0,2016-05-23 03:46:00.000000,61.30154800415039,-55.543365478515625,500.02574014910914,571.9048241765569
39,4901782.0,39.0,2016-06-02 03:46:00.000000,60.77369689941406,-56.73255920410156,497.4127989283817,572.442425210301
40,4901782.0,40.0,2016-06-12 03:53:00.000000,61.31901931762695,-56.075660705566406,496.081699725478,572.4195510752811
41,4901782.0,41.0,2016-06-22 03:51:00.000000,60.92654037475586,-57.42841339111328,496.95228477708986,571.3204612545535
42,4901782.0,42.0,2016-07-02 03:46:00.000000,60.81934356689453,-58.31986618041992,492.34614004849334,572.0785435882129
43,4901782.0,43.0,2016-07-12 03:49:00.000000,60.70806884765625,-58.80516052246094,492.1942610596696,571.6945336861479
44,4901782.0,44.0,2016-07-22 03:47:00.000000,61.09535598754883,-59.53290939331055,492.83200611691734,570.0039974141384
45,4901782.0,45.0,2016-08-01 03:52:00.000000,61.50729751586914,-58.834983825683594,490.7103702445357,569.9856470868526
46,4901782.0,46.0,2016-08-11 03:42:00.000000,61.570518493652344,-59.432472229003906,490.5656904673064,570.7228824651754
47,4901782.0,47.0,2016-08-21 03:46:00.000000,61.07530975341797,-59.84024429321289,489.78730618015896,569.9460748298821
48,4901782.0,48.0,2016-08-31 03:49:00.000000,60.721168518066406,-59.659339904785156,488.1443268679447,570.8820611519614
49,4901782.0,49.0,2016-09-10 03:52:00.000000,60.36759948730469,-60.12724685668945,489.773930423115,568.9601958071572
50,4901782.0,50.0,2016-09-20 03:46:00.000000,59.865699768066406,-59.82111358642578,490.4623722051332,570.002237168815
51,4901782.0,51.0,2016-09-30 03:47:00.000000,59.04199981689453,-59.29247283935547,491.6427790706617,569.3095422222333
53,4901782.0,53.0,2016-10-20 03:50:00.000000,57.761661529541016,-58.505332946777344,487.5409068793405,570.1752518722897
54,4901782.0,54.0,2016-10-30 03:47:00.000000,57.63240432739258,-58.30376434326172,488.5627130625549,570.0283392189395
55,4901782.0,55.0,2016-11-09 03:53:00.000000,57.533382415771484,-57.5633659362793,488.90151217195665,570.8556867285878
56,4901782.0,56.0,2016-11-19 03:53:00.000000,57.27524185180664,-57.755615234375,490.6679893146173,570.8325698634889
0,4902383.0,0.0,2016-05-09 09:53:00.000000,56.591060638427734,-52.68400573730469,528.9467332970119,577.6955586313949
2,4902383.0,2.0,2016-05-28 07:46:00.000000,56.83475112915039,-52.24223327636719,524.6704985955462,577.1817349611687
3,4902383.0,3.0,2016-06-07 07:53:00.000000,57.34379196166992,-51.91032409667969,524.7573407319138,576.831305265093
4,4902383.0,4.0,2016-06-17 07:48:00.000000,57.54884719848633,-52.95107650756836,521.6778795297357,578.1381213168522
5,4902383.0,5.0,2016-06-27 07:49:00.000000,56.92073059082031,-54.84105682373047,520.687924841675,576.3477749262089
6,4902383.0,6.0,2016-07-07 07:50:00.000000,57.55015563964844,-54.432830810546875,521.7429688048084,576.1690907539935
7,4902383.0,7.0,2016-07-17 07:48:00.000000,57.54571533203125,-55.19793701171875,518.9318662219436,575.0625556906608
9,4902383.0,9.0,2016-08-06 07:44:00.000000,58.441707611083984,-54.54296875,518.2626135797237,575.4648824199202
10,4902383.0,10.0,2016-08-16 07:46:59.999999,58.49936294555664,-55.481300354003906,515.7602707878874,574.7629506620729
11,4902383.0,11.0,2016-08-26 07:50:00.000000,58.54548263549805,-55.753318786621094,515.8315904796503,574.8642529484596
13,4902383.0,13.0,2016-09-15 07:53:00.000000,59.39099884033203,-53.78368377685547,516.1297599333672,575.0874156910156
14,4902383.0,14.0,2016-09-25 07:44:00.000000,58.97220993041992,-53.40546798706055,516.3013554664133,574.4875021581284
15,4902383.0,15.0,2016-10-05 07:46:00.000000,58.595924377441406,-52.21102523803711,515.1334423697944,573.8281809391268
16,4902383.0,16.0,2016-10-15 07:46:59.999999,58.79429626464844,-53.824851989746094,513.4801942042656,573.6453559282884
18,4902383.0,18.0,2016-11-04 07:46:59.999999,59.90427780151367,-51.38309097290039,513.2193651524691,573.3313387475948
19,4902383.0,19.0,2016-11-14 07:46:59.999999,59.62588882446289,-51.3712043762207,512.7608575330239,573.2962254296917
20,4902383.0,20.0,2016-11-24 07:50:00.000000,59.51728820800781,-51.56296920776367,512.036010001694,572.2408096128925
21,4902383.0,21.0,2016-12-04 07:49:00.000000,59.31237030029297,-51.61830520629883,512.553312572503,573.2606983548307
22,4902383.0,22.0,2016-12-14 07:52:00.000000,59.82697296142578,-51.67668533325195,510.5045977852269,572.6408919594247
23,4902383.0,23.0,2016-12-24 07:46:00.000000,59.560115814208984,-49.95342254638672,511.2187409315293,572.7567828184533
26,4902383.0,26.0,2017-01-23 07:53:00.000000,59.488983154296875,-48.66707229614258,512.6489022607833,574.5053383575671
